title,composer,performances,wins,win_rate_percent,avg_points,duration_minutes,difficulty,category,windrep_url
Symphony no. 1 for Band,Claude T. Smith,2,0,0.0,85.5,,,,
A Little Stress Music - Satire in Four Parts,Thomas Doss,3,0,0.0,88.17,,,,
The Stone Guardians - The Three Peaks,Thomas Doss,1,0,0.0,85.0,,,,
La Torre de Hercules,Ferrer Ferran,1,0,0.0,84.0,,,,
Sinfonietta No. 3,Franco Cesarini,1,0,0.0,81.0,,,,
Cane River Murals,Martin Ellerby,1,0,0.0,92.0,,,,
Arca de Noè,Oscar Navarro,1,0,0.0,91.0,,,,
"Tom Sawyer Suite - five Scenes from Mark Twain, Op. 27",Franco Cesarini,1,0,0.0,88.0,,,,
Bridges over the River Cam,Derek Bourgeois,2,0,0.0,85.0,,,,
"Selections from ""Princess Mononoke""",Joe Hisaishi,1,0,0.0,83.5,,,,
Pinocchio,Ferrer Ferran,7,0,0.0,88.07,,,,
"Samtidig, ein annan stad enn no",David Sætre Hveem,1,1,100.0,98.0,,,,
Tales and Myths of Gothia,Jerker Johansson,3,0,0.0,88.17,,,,
The Adventures of Baron Munchausen,Bert Appermont,3,0,0.0,89.83,,,,
A Malvern. Suite,Philip Sparke,1,0,0.0,88.0,,,,
Victory,Rossano Galante,1,0,0.0,87.5,,,,
Persis,James L. Hosay,1,0,0.0,86.0,,,,
Street Tango,Astor Piazzolla,1,0,0.0,85.0,,,,
"Prelude, Siciliano and Rondo","Malcom Arnold, arr. John Paynter",4,0,0.0,83.5,,,,
D-Day,Alex Poelman,1,0,0.0,83.5,,,,
Where Eagles Soar,Steven Reineke,2,0,0.0,87.25,,,,
Les Parapluis de Cherbourg,"Legrand/Demy, arr. Øyvind Westby",2,0,0.0,86.0,,,,
Aurora Borealis,Rossano Galante,2,1,50.0,90.5,,,,
The Legend of Maracaibo,Jose Alberto Pina,1,0,0.0,89.0,,,,
Puszta (Four Gypsi Dances),Jan Van der Roost,32,2,6.25,89.3,,,,
Journey Through Orion,Julie Giroux,1,0,0.0,85.0,,,,
Dwa Księżyce,Adam Strug,1,0,0.0,83.0,,,,
Three Brass Cats,Chris Hazell,1,0,0.0,82.0,,,,
"Symphony no. 3, II Variations on the ""Porazzi"" Theme of Wagner",Alfred Reed,1,1,100.0,97.7,,,,
Extreme Make-Over,Johan de Meij,5,1,20.0,94.67,,,,
"Macbeth, Music After Act 1 of Shakespeare's Play",Alexander Comitas,1,0,0.0,91.0,,,,
Aulos symphony,José Suñer-Oriola,1,0,0.0,90.3,,,,
"October - Sinfonisches Poem für Orchester, Op. 131",Dmitri Shostakovich,1,0,0.0,89.7,,,,
"Symphony no. 6, A Cotswold Symphony",Derek Bourgeois,3,0,33.33,91.33,,,,
Dance Movements,Philip Sparke,3,0,33.33,90.83,,,,
Zenith of the Maya,Satoshi Yagisawa,1,0,0.0,95.0,,,,
Symphony in B flat for Concert Band,Paul Hindemith,5,1,20.0,92.37,,,,
Symphony no. 6,Vincent Persichetti,1,0,0.0,91.0,,,,
Polovetsian Dances from Prince Igor,"Alexander Borodin, arr. Mark Hindsley",2,1,50.0,91.0,,,,
