title,composer,performances,wins,win_rate_percent,avg_points,duration_minutes,difficulty,category,windrep_url
Second Symphony,Alfred Reed,1,0,0.0,90.0,,,,
Divertimento,"Leonard Bernstein, arr. Clare Grundman",1,0,0.0,86.0,,,,
Sowetan Spring,James MacMillan,1,0,0.0,85.0,,,,
Cantus Laetus,David R. Gillingham,3,0,0.0,90.33,,,,
Firework,Jan Van der Roost,1,0,0.0,91.0,,,,
"Festival Overture, Op. 39",Egil Hovland,3,0,0.0,90.17,,,,
Armageddon,Hardy Mertens,2,0,0.0,88.5,,,,
"The West Symphoni, 1. sats The Blue Wolf on the Plateau",Satoshi Yagisawa,1,0,0.0,87.0,,,,
Four Scottisch Dances,"Malcom Arnold, arr. John Paynter",2,1,50.0,87.0,,,,
Torch Dance,James Barnes,2,0,0.0,92.0,,,,
Mannin Veen,Haydn Wood,2,0,0.0,84.25,,,,
The Big Bang,Jens Wendelboe,1,0,0.0,84.0,,,,
Capriccio & Canzone,Helge Hurum,2,0,0.0,82.5,,,,
For All The Saints,Gustav Øistensen Aaberg,1,0,0.0,92.0,,,,
"Declaration, Ballade and Finale",Ed Huckeby,1,0,0.0,90.0,,,,
Voyage,Gustav Øistensen Aaberg,1,0,0.0,89.0,,,,
All Glory Told,James Swearingen,1,0,0.0,88.0,,,,
First Suite for Band,Alfred Reed,3,0,0.0,88.67,,,,
Hanover Festival,Philip Sparke,2,0,0.0,83.0,,,,
"First Suite for Band, 2. og 3. sats",Alfred Reed,1,0,0.0,82.0,,,,
"Windows of the World, 1. sats",Peter Graham,1,0,0.0,81.0,,,,
The Greater Glory,Knut Nystedt,1,0,0.0,80.0,,,,
Fantasie on a Danish Theme,Albert Oliver Davis,1,1,100.0,97.0,,,,
The Power of the Megatsunami,Carl Wittrock,1,0,0.0,86.0,,,,
John Williams Fantasy,"John Williams, arr. Naohiro Iwai",1,0,0.0,85.0,,,,
Fallskjärmsjägar-Marsch,Sven Samuelsson,1,0,0.0,84.0,,,,
Tales of the Unexpected,"Farmers Market/Stian Carstensen, arr. Christian Clasén og Jarle Storløkken",1,0,0.0,82.0,,,,
"Feste Romane, 1. - 4. sats","Ottorino Respighi, arr. Schaefer, Gudim, Lee",1,0,0.0,91.0,,,,
Parable,Ron Nelson,1,0,0.0,88.0,,,,
Pagan Dances,James Barnes,1,0,0.0,83.0,,,,
Wait of the World,Stephen Melillo,2,1,50.0,92.5,,,,
Niagara Falls,Michael Daugherty,1,0,0.0,91.0,,,,
Ragtimes & Habaneras,Hans Werner Henze,1,0,0.0,90.0,,,,
"Divertimento, 1., 2., 4., 6. og 8. sats","Leonard Bernstein, arr. Clare Grundman",1,0,0.0,89.0,,,,
"Symphonic Dances from ""West Side Story""","Leonard Bernstein, arr. Stian Aareskjold",1,0,0.0,88.0,,,,
Lochinvar,James Curnow,2,0,0.0,86.5,,,,
Chants de Thule (Slåtter og stev fra Tranestien),Stig Nordhagen,1,0,0.0,80.0,,,,
Moments of Spain,Johan Modahl Leiva,1,0,0.0,94.0,,,,
"Ouverture, Scherzo og Finale, op. 28",Morten Gaathaug,1,0,0.0,93.0,,,,
Dimensions,"Peter Graham, arr. Jan Segers",19,0,5.26,84.5,,,,
Suite de Ballet Les Papillons,"Coby Lankester, arr. Johan de Meij",1,0,0.0,87.0,,,,
Pageant,Vincent Persichetti,2,0,0.0,86.5,,,,
Circus Ring,Paul Hart,1,0,0.0,84.0,,,,
Life Dances,William Himes,1,0,0.0,94.0,,,,
Epinicion for Winds and Percussion,John Paulson,1,0,0.0,93.0,,,,
Othello,Alfred Reed,1,0,0.0,92.0,,,,
The Count of Monte Cristo,Otto M. Schwarz,1,0,0.0,91.0,,,,
A Jubilant Overture,Alfred Reed,20,1,5.0,87.67,,,,
"Suite for Band, no. 3, ""Donner en spectacle"", ""Valse en melancolie"", ""Marche - ça suffit""",Idar Torskangerpoll,1,0,0.0,88.0,,,,
Battlescenes,Gustav Øistensen Aaberg,1,0,0.0,87.0,,,,
Suite in B flat,Gordon Jacob,3,0,0.0,88.67,,,,
Be Thou my Vision,David R. Gillingham,1,0,0.0,84.0,,,,
Latin Games,Uri Hodorov,1,0,0.0,94.0,,,,
"Militæroverture, op. 67",Øistein Sommerfeldt,1,0,0.0,92.0,,,,
"Puszta, 1. og 3. sats",Jan Van der Roost,1,0,0.0,89.0,,,,
Rhapsody from the Low Countries,Henk van Lijnschooten,1,0,0.0,88.0,,,,
Toccata Festiva,Jan Van der Roost,1,0,0.0,86.0,,,,
Reinlenderfantasi,"Trad, arr. Torstein Aagaard-Nilsen",1,0,0.0,85.0,,,,
Gulloden I,Julie Giroux,1,0,0.0,84.0,,,,
In the Beginning,Stephen Melillo,1,0,0.0,92.0,,,,
Bells for Stokowski,Michael Daugherty,1,0,0.0,86.0,,,,
Symphony II - Lost Songs,Warren Benson,1,1,100.0,95.0,,,,
Fantasies on a theme by Haydn,Norman dello Joio,1,0,0.0,91.0,,,,
Poseidon,"Olav Berg, arr. Lars-Thomas Holm",1,0,0.0,87.0,,,,
Divertimento (unntatt 3. sats),"Leonard Bernstein, arr. Clare Grundman",1,0,0.0,84.0,,,,
Festival Variations,Claude T. Smith,1,0,0.0,83.0,,,,
Hjalar-Ljod,"Eivind Groven, arr. Knut Aasvik",1,0,0.0,91.0,,,,
Sinfonietta No 3 - Rheinfelden Sketches,Philip Sparke,2,0,0.0,91.0,,,,
An Original Suite for Military Band,Gordon Jacob,1,0,0.0,88.0,,,,
The cutting of the hay,"Percy Aldridge Grainger, arr. Brian S. Wilson",1,0,0.0,88.0,,,,
Nostradamus,Otto M. Schwarz,3,0,0.0,89.0,,,,
"Norwegian Suite for Band, 2. og 3. sats","Oscar Borg, arr. Åge Hermansen",1,0,0.0,84.0,,,,
"Eventus, 1. del Explicato og 3. del Sulitjelma fantasi",Helge Hurum,1,0,0.0,89.0,,,,
Simple gifts,"Trad., arr. Ronald Smeets",1,0,0.0,88.0,,,,
"Yiddish Dances, 5. sats Freylachs",Adam Gorb,1,0,0.0,87.0,,,,
"A Moorside suite, 3. sats March","Gustav Holst, arr. Dennis Wright",2,0,0.0,87.5,,,,
Overture To A New Era,Caesar Giovannini,1,1,100.0,95.0,,,,
"Third Suite for Band, 2. og 3. sats",Robert Edward Jager,2,0,0.0,89.5,,,,
Barnard Castle,Goff Richards,1,0,0.0,88.0,,,,
Alte Swingkameraden,"C. Teike, arr. Koos Mark",1,0,0.0,85.0,,,,
With Trumpets And Drums (A Northern Salute),Alfred Reed,1,0,0.0,84.0,,,,
Doyen,Goff Richards,1,0,0.0,83.0,,,,
Two Symphonic Movements,Václav Nelhýbel,1,0,0.0,90.0,,,,
"Heroes, Lost and Fallen",David R. Gillingham,12,0,8.33,89.96,,,,
Festivo,Edward Gregson,20,2,10.0,87.8,,,,
Diamond Variations,Robert Jäger,1,1,100.0,94.0,,,,
"Songs of the British Isles, sats IV The Bonnie Laboring Boy",Albert Oliver Davis,1,0,0.0,91.0,,,,
A Festival Prelude,Alfred Reed,1,0,0.0,89.0,,,,
New York Nitelife!,Arr. Jay Bocook,1,1,100.0,98.0,,,,
Alvamar Overture,James Barnes,1,0,0.0,92.0,,,,
Cry of the Celts,"Ronan Hardiman, arr. Peter Graham",1,0,0.0,88.0,,,,
The Trail of Dreams,Robert W. Smith,1,0,0.0,86.0,,,,
Tokyo Adventure,Luigi di Ghisallo,2,0,0.0,88.0,,,,
Highlights from Hook,"John Williams, arr. Hans van der Heide",1,0,0.0,82.0,,,,
Merry-Go-Round,Philip Sparke,1,0,0.0,81.0,,,,
Consensus,Tore Øyhus,1,0,0.0,80.0,,,,
Do Not Go Gentle Into That Good Night,Eliot Del Borgo,1,0,0.0,79.0,,,,
In Memoriam,David Maslanka,1,0,0.0,93.0,,,,
Symphony no. 5,David Maslanka,1,0,0.0,88.0,,,,
Balkan Moods,Reid Gilje,1,0,0.0,92.0,,,,
Wilten Festival Overture,Philip Sparke,2,0,0.0,88.5,,,,
Legend Of The Sword,David Shaffer,1,0,0.0,87.0,,,,
Illyrian Dances,Guy Woolfenden,5,1,20.0,88.7,,,,
Third Set for Band,Jared Spears,1,0,0.0,84.0,,,,
"Illyrian Dances, Nr. 1 Rondo",Guy Woolfenden,1,0,0.0,83.0,,,,
Jig,"Gustav Holst, arr. Johan de Meij",2,0,0.0,93.5,,,,
Små variasjoner over et ubetydelig tema,Bjørn Mellemberg,1,0,0.0,91.0,,,,
"Cry of the Celts, 1. og 3. sats","Ronan Hardiman, arr. Peter Graham",1,0,0.0,90.0,,,,
3 Pictures for Band,Lars Erik Gudim,1,0,0.0,89.0,,,,
Centennial Celebration Overture,James Barnes,1,0,0.0,88.5,,,,
Time Remembered,Philip Sparke,1,0,0.0,87.0,,,,
A Symphonic Portrait,Andrew Lloyd Webber,1,0,0.0,82.0,,,,
"Cum Laude, Concert March",Wim Laseroms,1,0,0.0,80.0,,,,
Concerto for Wind Ensemble,Karel Husa,2,1,50.0,91.5,,,,
Gloses II,Amando Blanquer,1,0,0.0,95.0,,,,
Star Wars Trilogy,"John Williams, arr. Donald Hunsberger",1,0,0.0,90.0,,,,
Caricatures,Jere Hutcheson,1,0,0.0,86.0,,,,
"Polovetsian Dances from Prince Igor, ikke 3. sats General Dance","Alexander Borodin, arr. Mark Hindsley",1,0,0.0,80.0,,,,
New World Dances,Martin Ellerby,12,0,8.33,90.23,,,,
Fanfare and Allegro,Clifton Williams,14,1,7.14,88.36,,,,
The Iliad,Robert W. Smith,1,0,0.0,88.0,,,,
Folksongs for Band no. 3,David Stanhope,1,0,0.0,87.0,,,,
Joshua Fit The Battle of Jericho,Dennis Armitage,1,0,0.0,86.0,,,,
Elegy and Celebration,Stephen Bulla,1,0,0.0,82.0,,,,
Jubilee Prelude,Philip Sparke,1,0,0.0,80.0,,,,
Inchon,Robert W. Smith,1,0,0.0,79.0,,,,
An American in Paris,"George Gershwin, arr. Naohiro Iwai",1,0,0.0,93.0,,,,
"The Divine Comedy, 2. sats Purgatorio",Robert W. Smith,1,0,0.0,92.0,,,,
"Second Suite in F for Military Band, 2. sats",Gustav Holst,1,0,0.0,90.0,,,,
Jungle Fantasy,Arr. Naohiro Iwai,1,0,0.0,88.0,,,,
"Reflections of This Time, 2. sats Blue Air",Ted Huggens (Henk van Lijnschooten),1,0,0.0,86.0,,,,
Caccia and Chorale,Clifton Williams,1,0,0.0,85.0,,,,
Chestford Portrait,James Swearingen,1,0,0.0,83.0,,,,
Prelude and Celebration,James Curnow,1,0,0.0,82.0,,,,
Affinity and Fellowship,John Brakstad,2,1,50.0,86.5,,,,
Passacaglia,"Ludvig Irgens Jensen, arr. Lars-Thomas Holm",1,0,0.0,95.0,,,,
When I Close My Eyes I See Dancers,Timothy Mahr,1,0,0.0,94.0,,,,
Sinfonia Resurrectionis,Václav Nelhýbel,1,0,0.0,92.0,,,,
The Inferno,Robert W. Smith,1,0,0.0,91.0,,,,
La Quintessenza,Johan de Meij,1,0,0.0,89.0,,,,
The Winds of Poseidon,Robert W. Smith,1,0,0.0,86.0,,,,
Dynamic Overture,Franco Cesarini,1,0,0.0,85.0,,,,
Adagio E Presto Con Fuoco,Manfred Schneider,1,0,0.0,84.0,,,,
Mountain Panorama,Manfred Schneider,2,1,50.0,89.0,,,,
Sygna og Firda Suite,Valter Aamodt,1,0,0.0,81.0,,,,
Bojarenes Indtogsmarch,"Johan Halvorsen, arr. Bjørn Mellemberg",1,0,0.0,89.0,,,,
"Second Suite in F for Military Band, 2. og 4. sats",Gustav Holst,1,0,0.0,88.0,,,,
"Eventus, 1. del Explicato",Helge Hurum,1,0,0.0,85.0,,,,
Fantasia for Band,Vittorio Giannini,1,0,0.0,84.0,,,,
"The Planets, 1. sats Mars The Bringer of the War",Gustav Holst,1,0,0.0,79.0,,,,
"Music for Prague 1968, 1., 3. og 4. sats",Karel Husa,1,0,0.0,87.0,,,,
Pulsare,Helge Hurum,12,0,8.33,88.44,,,,
"Sinfonia no. 9, 1. sats",Walter S. Harley,1,1,100.0,95.0,,,,
Canticle of the Creatures,James Edward Curnow,1,0,0.0,94.0,,,,
Alternances,André Waignein,1,0,0.0,92.0,,,,
Odyssey (Overture on an Epic Poem),James Curnow,15,1,6.67,87.3,,,,
Arctic Dreams,Michael Colgrass,1,0,0.0,94.0,,,,
The Roman Carnival,Hector Berlioz,1,0,0.0,93.0,,,,
Changes,Rolf Wallin,1,0,0.0,93.0,,,,
Galaxies,Carl Davis,1,0,0.0,89.0,,,,
Capriccio,Marcel Poot,7,1,14.29,88.93,,,,
Through The Vulcan's Eye,Robert W. Smith,1,0,0.0,93.0,,,,
Høstvise,"Christian Hartmann, arr. Nils E. Nikolaisen",1,0,0.0,92.0,,,,
Satiric Dances (for a comedy of Arisophanes),Norman dello Joio,1,1,100.0,91.0,,,,
Midnight Music,Irwin Bazelon,1,1,100.0,95.0,,,,
Festive Overture,Dmitri Shostakovich,1,0,0.0,92.0,,,,
A Myth for Symphonic Band,Hiroshi Ohguri,1,0,0.0,90.0,,,,
Charivari,Malcolm Binney,1,0,0.0,90.0,,,,
Metamorfoser,Bjørn K. Hoemsnes,1,0,0.0,93.0,,,,
Concerto pour Grand Orchestre d´Harmonie,Ida Gotkovsky,1,0,0.0,92.5,,,,
Invocation and Toccata,James Barnes,12,0,8.33,89.33,,,,
An Outdoor Overture,Aaron Copland,18,1,5.56,83.83,,,,
Pastorale,Clifton Williams,1,1,100.0,95.0,,,,
"First Suite in Eb for Military Band, 1. og 3. sats",Gustav Holst,1,0,0.0,84.0,,,,
Danse Folâtre,Claude T. Smith,1,1,100.0,95.0,,,,
Don Juan,"Richard Strauss, arr. Mark Hindsley",1,0,0.0,92.0,,,,
Dawn's Early Light,Warren Benson,1,0,0.0,90.0,,,,
Fra Hundrad folketonar frå Hardanger,"Geirr Tveitt, arr P. O. Paulsen",1,0,0.0,88.0,,,,
"Symphony no. 4, 1. sats",Alfred Reed,1,0,0.0,86.0,,,,
Variations on a Hymn by Louis Bourgeois,Claude T. Smith,12,0,8.33,86.71,,,,
Quatro Variazioni Musicali con Tema Populare,Kees Vlak,18,1,5.56,81.64,,,,
3 Fragments for Band,Hiroaki Kuwahara,11,1,9.09,88.14,,,,
Cartoon,Paul Hart,19,0,5.26,87.16,,,,
La Storia,Jacob de Haan,15,1,6.67,85.23,,,,
Pineapple Poll,Arthur Sullivan,3,0,33.33,91.5,,,,
Aegean Festival Overture,Andreas Makris,2,0,0.0,87.5,,,,
Burlesque,Georgi Salnikov,5,0,0.0,87.1,,,,
American Triptych,Roger Roger,2,0,0.0,85.75,,,,
En Natt på Bloksberg,Modest Petrovitsj Musorgskij,1,0,0.0,94.5,,,,
Tristropha,Kees Schoonenbeek,2,0,0.0,86.25,,,,
Die Verkaufte Braut,B. Smetana,1,0,0.0,80.0,,,,
Chorale and Shaker Dance,John P. Zdechlik,1,1,100.0,95.0,,,,
Overture for fun,Henk van Lijnschooten,7,1,14.29,91.66,,,,
Norwegian Suite for Band,"Oscar Borg, arr. Åge Hermansen",8,1,12.5,88.71,,,,
Soldat van Oranje,Rogier van Otterlo,3,0,33.33,88.5,,,,
Songs of the West,Gustav Holst,4,1,25.0,88.0,,,,
Delta Dances for Wind Band,Kenneth Platts,8,1,12.5,90.15,,,,
Ballad for band,Gordon Jacob,9,1,11.11,84.2,,,,
Epiphany,Henk Badings,3,0,33.33,91.5,,,,
Alpen Sketches,Warren Barker,3,0,33.33,89.1,,,,
Blow out,Oddvar Schirmer Kvam,5,1,20.0,88.74,,,,
Eufonie,Louis Toebosch,4,1,25.0,87.5,,,,
Festive Piece,Clare E. Grundman,5,1,20.0,89.26,,,,
De lystige koner i Windsor,Carl Otto Ehrenfried Nicolai,2,1,50.0,93.85,,,,
Sinfonietta,Stuart Johnson,4,1,25.0,87.43,,,,
